symbol,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
BRENTCMDUSD,24,297,0.45454545454545453,0.5387205387205387,0.006734006734006734,-0.25599499673163845,-0.15109050436546861,1.9727463694654899,-1.348739174593464,-0.15109050436546861,0.9309145468185263,0.45454545454545453,0.5387205387205387,0.45454545454545453,-2.236343179265834,0.39885572365754834,0.5113960500333242,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,168,297,0.5252525252525253,0.47474747474747475,0.0,0.04569589198633115,0.28822596915982956,5.300625009598381,-2.7134364439181913,0.28822596915982956,2.933574567071587,0.5252525252525253,0.47474747474747475,0.5252525252525253,0.14856903500789453,0.4685001183104789,0.5813600074168142,UNVERIFIED_PYTHON_APPROXIMATION,usable
BRENTCMDUSD,336,296,0.5641891891891891,0.4358108108108108,0.0,0.22914494809952335,0.40470225312402613,5.692593537882921,-3.405264397584637,0.40470225312402613,3.3725631657700075,0.5641891891891891,0.4358108108108108,0.5641891891891891,0.6925417610563441,0.5072338078602908,0.6194997741376708,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,24,152,0.4276315789473684,0.5723684210526315,0.0,-0.08990648713246566,-0.0813877263064901,0.6007710608974194,-0.4348415483362992,-0.0813877263064901,0.3115616739112114,0.4276315789473684,0.5723684210526315,0.4276315789473684,-1.8450316412020173,0.3517189844862888,0.5071120336757424,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,168,149,0.5570469798657718,0.4429530201342282,0.0,0.03550981151034688,0.19644315119371236,1.3747163960755509,-0.7704864926667179,0.19644315119371236,0.9779633093436112,0.5570469798657718,0.4429530201342282,0.5570469798657718,0.31530320751440905,0.47684836279164045,0.6343779002152896,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,336,148,0.6081081081081081,0.3918918918918919,0.0,0.20580590380986455,0.26829317389100443,1.7604981155513229,-0.4878613325650781,0.26829317389100443,1.141583908950886,0.6081081081081081,0.3918918918918919,0.6081081081081081,1.4221752686361324,0.5276761046762952,0.6830698305614789,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,24,145,0.5379310344827586,0.45517241379310347,0.006896551724137931,-0.014465555172724055,0.035891859937301165,0.6262024851908042,-0.41684603996262615,0.035891859937301165,0.3332448925444491,0.5379310344827586,0.45517241379310347,0.5379310344827586,-0.278166176063673,0.45685009283412303,0.617053976995817,UNVERIFIED_PYTHON_APPROXIMATION,usable
GBPJPY,168,145,0.5448275862068965,0.45517241379310347,0.0,-0.07458724184185567,0.09225140604771712,1.55881239326252,-0.7608926458841136,0.09225140604771712,0.8904581559450243,0.5448275862068965,0.45517241379310347,0.5448275862068965,-0.5761753825488746,0.463658273260272,0.6236829001751115,UNVERIFIED_PYTHON_APPROXIMATION,usable
GBPJPY,336,145,0.5655172413793104,0.43448275862068964,0.0,0.04752324403519415,0.19136861554704188,1.9190035317236893,-0.9843757690435757,0.19136861554704188,1.3423282984938023,0.5655172413793104,0.43448275862068964,0.5655172413793104,0.29820457767829384,0.48417345169420645,0.6434790325575082,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,24,202,0.47029702970297027,0.5297029702970297,0.0,-0.1691199119505358,-0.10423430494608701,2.019149805852835,-1.435505265228558,-0.10423430494608701,1.092107426720769,0.47029702970297027,0.5297029702970297,0.47029702970297027,-1.1904245837843848,0.40266365280758,0.539039093381723,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
