symbol,year,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
BRENTCMDUSD,2022,24,75,0.4533333333333333,0.5466666666666666,0.0,-0.4113427610107477,-0.402900886381943,2.316996929960939,-2.076396662342904,-0.402900886381943,0.8377636753389138,0.4533333333333333,0.5466666666666666,0.4533333333333333,-1.5374784320674268,0.3456961212759212,0.5655182630085175,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,2022,168,75,0.5066666666666667,0.49333333333333335,0.0,0.7588548179964122,0.3060889458466229,7.096595425010384,-4.130380703067896,0.3060889458466229,5.37632552364842,0.5066666666666667,0.49333333333333335,0.5066666666666667,0.9260603300746119,0.39598184412213266,0.6167018152658047,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2022,336,75,0.56,0.44,0.0,0.7419031022455774,1.2147357665890863,7.811832322271458,-4.505143155442823,1.2147357665890863,6.272108612143424,0.56,0.44,0.56,0.8224791664554459,0.44746569425928456,0.6666872402321515,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2023,24,89,0.5168539325842697,0.48314606741573035,0.0,-0.2353870672461155,0.07744152559805113,2.080382806797479,-1.2261580381471444,0.07744152559805113,1.2107538566939902,0.5168539325842697,0.48314606741573035,0.5168539325842697,-1.0674175655914113,0.4145040372503965,0.6178090637732825,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2023,168,89,0.5168539325842697,0.48314606741573035,0.0,-0.36170512092814755,0.28822596915982956,4.635569554792995,-3.496545946799088,0.28822596915982956,3.5097061528779623,0.5168539325842697,0.48314606741573035,0.5168539325842697,-0.7361165107912561,0.4145040372503965,0.6178090637732825,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2023,336,89,0.550561797752809,0.449438202247191,0.0,0.39233142022752493,0.40294450191247855,5.76299146587089,-3.4088389408208832,0.40294450191247855,4.762323059933733,0.550561797752809,0.449438202247191,0.550561797752809,0.6422440910868357,0.4472614742822269,0.6496778287888101,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2024,24,67,0.3582089552238806,0.6119402985074627,0.029850746268656716,-0.33993083366208104,-0.5794462149745433,1.4850115242088027,-1.4110521422086573,-0.5794462149745433,0.5624402817606979,0.3582089552238806,0.6119402985074627,0.3582089552238806,-1.873691716327446,0.2539788838135447,0.47781712305247737,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,2024,168,67,0.6268656716417911,0.373134328358209,0.0,0.2063818434743279,0.4762351931100093,2.9009829274786236,-1.7130035465976234,0.4762351931100093,2.2900245110545177,0.6268656716417911,0.373134328358209,0.6268656716417911,0.5823226943341547,0.5071518645751268,0.7328201292815902,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2024,336,67,0.5970149253731343,0.40298507462686567,0.0,-0.137330578422593,0.35002394900703965,2.9290082364391408,-1.843715003850558,0.35002394900703965,1.006336358195828,0.5970149253731343,0.40298507462686567,0.5970149253731343,-0.38378151920829373,0.4774111146058888,0.7060968806963064,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2025,24,66,0.4696969696969697,0.5303030303030303,0.0,-0.02204533504889185,-0.12098062776275234,1.8494981747922568,-0.855358429124528,-0.12098062776275234,0.9332773141223201,0.4696969696969697,0.5303030303030303,0.4696969696969697,-0.0968355368073729,0.354302309719119,0.5884252337506756,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,2025,168,66,0.45454545454545453,0.5454545454545454,0.0,-0.3784584724237179,-0.31639487536127875,5.652627356358779,-1.6668765569596273,-0.31639487536127875,1.4986969225461906,0.45454545454545453,0.5454545454545454,0.45454545454545453,-0.5439260313297388,0.340239312591756,0.5738520026129358,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,2025,336,65,0.5538461538461539,0.4461538461538462,0.0,-0.20818731810608324,0.2550823220220962,4.859634711692171,-3.379270815161865,0.2550823220220962,2.895454210565101,0.5538461538461539,0.4461538461538462,0.5538461538461539,-0.34538806269943056,0.4333760431730088,0.6683066603086071,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,2022,24,41,0.5365853658536586,0.4634146341463415,0.0,-0.03702397015210489,0.05366713828697156,0.7327430904566402,-0.5309869295525005,0.05366713828697156,0.5094116473588989,0.5365853658536586,0.4634146341463415,0.5365853658536586,-0.32353642597870613,0.38746215345974366,0.6794400088181413,UNVERIFIED_PYTHON_APPROXIMATION,usable
EURJPY,2022,168,41,0.5121951219512195,0.4878048780487805,0.0,-0.19114678950507516,0.07716736414092944,1.84197028883054,-1.6000225355286632,0.07716736414092944,1.137562599378819,0.5121951219512195,0.4878048780487805,0.5121951219512195,-0.6644714348592964,0.36484259315865186,0.657458127600643,UNVERIFIED_PYTHON_APPROXIMATION,borderline
EURJPY,2022,336,41,0.5365853658536586,0.4634146341463415,0.0,0.4601119706018388,0.2456602603843826,2.058271329761606,-1.2693747594555775,0.2456602603843826,2.4838395146437415,0.5365853658536586,0.4634146341463415,0.5365853658536586,1.4313730499442243,0.38746215345974366,0.6794400088181413,UNVERIFIED_PYTHON_APPROXIMATION,usable
EURJPY,2023,24,39,0.3076923076923077,0.6923076923076923,0.0,-0.2209597007525779,-0.28857621316328524,0.6092394966253989,-0.536818886140709,-0.28857621316328524,0.0724199470672445,0.3076923076923077,0.6923076923076923,0.3076923076923077,-2.2649432555995435,0.1856575344598306,0.464215486155646,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,2023,168,39,0.5641025641025641,0.4358974358974359,0.0,0.013417883440352099,0.17310875525960054,1.3921647518840579,-0.6260580251762565,0.17310875525960054,0.8376006294007239,0.5641025641025641,0.4358974358974359,0.5641025641025641,0.060190185906043144,0.40975423474522105,0.7069547583829534,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,2023,336,39,0.5897435897435898,0.41025641025641024,0.0,0.014902984346880766,0.12625160332821833,1.6553509813838991,-0.3755459684916175,0.12625160332821833,0.827362133509628,0.5897435897435898,0.41025641025641024,0.5897435897435898,0.056223186782192756,0.43418348473344903,0.7292091056459952,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,2024,24,29,0.4482758620689655,0.5517241379310345,0.0,-0.12248932121464019,-0.07836798667743364,0.5586492699896316,-0.33561817406407424,-0.07836798667743364,0.2653405822648594,0.4482758620689655,0.5517241379310345,0.4482758620689655,-1.1807501008049588,0.2841291114874579,0.6245233293193238,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,2024,168,29,0.5172413793103449,0.4827586206896552,0.0,0.008046589892393048,0.155116398368236,1.1782973844033782,-0.7603255028404727,0.155116398368236,1.0032201349810088,0.5172413793103449,0.4827586206896552,0.5172413793103449,0.03677527700521901,0.3443073797056916,0.6861418066920478,UNVERIFIED_PYTHON_APPROXIMATION,borderline
EURJPY,2024,336,29,0.5517241379310345,0.4482758620689655,0.0,-0.19034493199996116,0.2571023768229357,2.1028285796300388,-0.880595642981899,0.2571023768229357,1.045561897264311,0.5517241379310345,0.4482758620689655,0.5517241379310345,-0.48745715126381883,0.37547667068067625,0.715870888512542,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,2025,24,43,0.4186046511627907,0.5813953488372093,0.0,0.0005073343413168251,-0.051128081282767704,0.46325637112739737,-0.2542827763332328,-0.051128081282767704,0.31281297538791386,0.4186046511627907,0.5813953488372093,0.4186046511627907,0.007181366435082317,0.2838433433748524,0.5667168424428823,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
