symbol,year,analysis_session_scope,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
BRENTCMDUSD,2022,all_sessions,24,75,0.4533333333333333,0.5466666666666666,0.0,-0.4113427610107477,-0.402900886381943,2.316996929960939,-2.076396662342904,-0.402900886381943,0.8377636753389138,0.4533333333333333,0.5466666666666666,0.4533333333333333,-1.5374784320674268,0.3456961212759212,0.5655182630085175,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,2022,all_sessions,168,75,0.5066666666666667,0.49333333333333335,0.0,0.7588548179964122,0.3060889458466229,7.096595425010384,-4.130380703067896,0.3060889458466229,5.37632552364842,0.5066666666666667,0.49333333333333335,0.5066666666666667,0.9260603300746119,0.39598184412213266,0.6167018152658047,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2022,all_sessions,336,75,0.56,0.44,0.0,0.7419031022455774,1.2147357665890863,7.811832322271458,-4.505143155442823,1.2147357665890863,6.272108612143424,0.56,0.44,0.56,0.8224791664554459,0.44746569425928456,0.6666872402321515,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2022,london_only,24,7,0.5714285714285714,0.42857142857142855,0.0,1.3628329187776302,0.8417424566926065,2.189836974784581,-0.29685260418620846,0.8417424566926065,2.618054033940905,0.5714285714285714,0.42857142857142855,0.5714285714285714,1.6465686821150693,0.2504542304090258,0.8417830777373732,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2022,london_only,168,7,0.5714285714285714,0.42857142857142855,0.0,1.0377945007407186,0.891372823519117,3.5342227499377254,-1.3078017400489912,0.891372823519117,3.331565314231268,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.7769024069008552,0.2504542304090258,0.8417830777373732,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2022,london_only,336,7,0.42857142857142855,0.5714285714285714,0.0,-0.53879021821536,-3.9408604063623107,5.724141037158909,-5.1742177215176195,-3.9408604063623107,4.793141983125707,0.42857142857142855,0.5714285714285714,0.42857142857142855,-0.249033858002142,0.15821692226262685,0.7495457695909742,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,2022,london_or_newyork,24,22,0.5,0.5,0.0,0.1284707145392228,-0.02626940483178164,2.002077123941249,-0.7866992688679293,-0.02626940483178164,0.8397530660157602,0.5,0.5,0.5,0.30097794782466647,0.3072180469247956,0.6927819530752044,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2022,london_or_newyork,168,22,0.6363636363636364,0.36363636363636365,0.0,1.75298467442757,1.3020532622260843,8.30247347032387,-2.0287279286421596,1.3020532622260843,4.588383633128204,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.9903346241398202,0.4295134934371804,0.802670272273921,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2022,london_or_newyork,336,22,0.5454545454545454,0.45454545454545453,0.0,-0.3382443030502206,1.0801463847409787,8.279244599674259,-5.757703395997805,1.0801463847409787,5.5123199566185,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.19162453658630485,0.34659473289041554,0.7307998556799515,UNVERIFIED_PYTHON_APPROXIMATION,usable
BRENTCMDUSD,2023,all_sessions,24,89,0.5168539325842697,0.48314606741573035,0.0,-0.2353870672461155,0.07744152559805113,2.080382806797479,-1.2261580381471444,0.07744152559805113,1.2107538566939902,0.5168539325842697,0.48314606741573035,0.5168539325842697,-1.0674175655914113,0.4145040372503965,0.6178090637732825,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2023,all_sessions,168,89,0.5168539325842697,0.48314606741573035,0.0,-0.36170512092814755,0.28822596915982956,4.635569554792995,-3.496545946799088,0.28822596915982956,3.5097061528779623,0.5168539325842697,0.48314606741573035,0.5168539325842697,-0.7361165107912561,0.4145040372503965,0.6178090637732825,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,2023,all_sessions,336,89,0.550561797752809,0.449438202247191,0.0,0.39233142022752493,0.40294450191247855,5.76299146587089,-3.4088389408208832,0.40294450191247855,4.762323059933733,0.550561797752809,0.449438202247191,0.550561797752809,0.6422440910868357,0.4472614742822269,0.6496778287888101,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,2023,london_only,24,13,0.5384615384615384,0.46153846153846156,0.0,0.21212441310149394,0.3305653990585574,1.159803678432394,-0.48744666573819934,0.3305653990585574,0.668537471112586,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.6594438890286068,0.2914343243183205,0.7679424569851186,UNVERIFIED_PYTHON_APPROXIMATION,usable
BRENTCMDUSD,2023,london_only,168,13,0.38461538461538464,0.6153846153846154,0.0,-0.6523860775347502,-2.2079846888165395,4.3383374264089065,-2.7283874923359828,-2.2079846888165395,2.321764541051195,0.38461538461538464,0.6153846153846154,0.38461538461538464,-0.5421919096545308,0.17709446581236815,0.6447751902773147,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
