symbol,session_scope,n_24h,n_168h,win_rate_24h,win_rate_168h,mean_return_24h,mean_return_168h,median_return_24h,median_return_168h,action,rationale,truth_label_block
BRENTCMDUSD,all_sessions,162,161,0.5555555555555556,0.4968944099378882,0.16595686081029348,0.25119612127049795,0.19877299952243896,-0.0695172295779693,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
BRENTCMDUSD,london_only,43,43,0.46511627906976744,0.5581395348837209,-0.1921199580568744,0.10709571541864289,-0.2754349382216455,0.45008551624808035,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
BRENTCMDUSD,london_or_newyork,64,64,0.515625,0.53125,-0.16065073065027025,0.11814402970267038,0.04855172918978362,0.3208246473136599,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
EURJPY,all_sessions,102,102,0.46078431372549017,0.5686274509803921,-0.04726774530741736,0.2119800381142981,-0.10310240681903997,0.3546101424557737,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
EURJPY,london_only,11,11,0.5454545454545454,0.45454545454545453,-0.022169401142417108,-0.12624703248738822,0.0036438722215475687,-0.5025189476960978,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
EURJPY,london_or_newyork,25,25,0.48,0.56,-0.01205206331265702,0.24884016424507194,-0.11162476040140236,0.3681526775702063,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
GBPJPY,all_sessions,99,99,0.43434343434343436,0.494949494949495,-0.12196748147225578,-0.015915544071749083,-0.12358207155702403,-0.010016715393807874,CUT,sub-50% directional profile and weak forward returns,UNVERIFIED_PYTHON_APPROXIMATION
GBPJPY,london_only,22,22,0.36363636363636365,0.4090909090909091,-0.14714502682070607,-0.5512423087298557,-0.16282899821185232,-0.7863868979455593,CUT,sub-50% directional profile and weak forward returns,UNVERIFIED_PYTHON_APPROXIMATION
GBPJPY,london_or_newyork,35,35,0.4,0.5142857142857142,-0.12866594965192404,-0.21285596608857282,-0.14072254631050995,0.005501730294172515,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
LIGHTCMDUSD,all_sessions,159,157,0.5345911949685535,0.5222929936305732,0.06877367341906405,0.2752945780745796,0.15481699621372016,0.3426333822809579,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
LIGHTCMDUSD,london_only,53,53,0.5283018867924528,0.5660377358490566,0.07833936544725849,0.9554454570402755,0.18958389393087544,1.0786442271790573,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
LIGHTCMDUSD,london_or_newyork,78,78,0.5512820512820513,0.5641025641025641,-0.0801779738921013,0.6294872431296827,0.20774446893897686,0.9866108556759552,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
USDJPY,all_sessions,123,123,0.4065040650406504,0.5203252032520326,-0.11025842687323137,-0.08262489932921292,-0.11738600304446364,0.08660983343712865,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
USDJPY,london_only,14,14,0.21428571428571427,0.5714285714285714,-0.08010295881580383,-0.1918790291572256,-0.21152551975386225,0.14564309600526312,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
USDJPY,london_or_newyork,28,28,0.35714285714285715,0.5,-0.12599442813051215,-0.1429151566094324,-0.15587669948407556,0.017761127857882385,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,all_sessions,127,127,0.5433070866141733,0.5748031496062992,0.25597062832417866,0.5608787608295743,0.13689556193419652,0.7545374209774922,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,london_only,32,32,0.5625,0.59375,0.21226369353883467,0.9855447200630247,0.13053003148324832,0.9805082361542949,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,london_or_newyork,46,46,0.5652173913043478,0.6086956521739131,0.37630679887263974,0.9940116647929342,0.22972522367238213,0.9938614439957404,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,all_sessions,132,132,0.5151515151515151,0.553030303030303,0.08081094724235238,0.4157468733616742,0.08616166978265907,0.3140198339768759,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,london_only,29,29,0.6206896551724138,0.5517241379310345,0.30435756454490115,0.5578556210945099,0.3158394114728975,0.3123729330441782,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,london_or_newyork,41,41,0.6097560975609756,0.5609756097560976,0.27768212853848534,0.6129010529688022,0.3158394114728975,0.3156667349095736,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
