symbol,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
BRENTCMDUSD,24,162,0.5555555555555556,0.4444444444444444,0.0,0.16595686081029348,0.19877299952243896,1.848026777367034,-0.7546789693069522,0.19877299952243896,1.07785340127609,0.5555555555555556,0.4444444444444444,0.5555555555555556,1.1429953374109099,0.47862984166909595,0.6299074613959976,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,168,161,0.4968944099378882,0.5031055900621118,0.0,0.25119612127049795,-0.0695172295779693,4.295864704525056,-2.640338589911594,-0.0695172295779693,2.321764541051195,0.4968944099378882,0.5031055900621118,0.4968944099378882,0.7419510812906897,0.4206386796275324,0.5732948905392217,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,336,161,0.515527950310559,0.484472049689441,0.0,-0.03721498642827505,0.15192740632295637,4.976137734739076,-3.9637064700093005,0.15192740632295637,3.411891558841652,0.515527950310559,0.484472049689441,0.515527950310559,-0.09489392499436204,0.43887249046507,0.5914596587011599,UNVERIFIED_PYTHON_APPROXIMATION,borderline
EURJPY,24,102,0.46078431372549017,0.5392156862745098,0.0,-0.04726774530741736,-0.10310240681903997,0.6745669332447216,-0.4470349143037772,-0.10310240681903997,0.43980570577253014,0.46078431372549017,0.5392156862745098,0.46078431372549017,-0.7076848917886652,0.3672332339199432,0.5571821188336056,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,168,102,0.5686274509803921,0.43137254901960786,0.0,0.2119800381142981,0.3546101424557737,1.5298370359329254,-0.9009232372832386,0.3546101424557737,1.36104354888828,0.5686274509803921,0.43137254901960786,0.5686274509803921,1.3994258156156973,0.47174801648043707,0.6605251162008527,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,336,102,0.6372549019607843,0.3627450980392157,0.0,0.37201655782513865,0.6258672072709728,2.0466870556065473,-0.7918112377557839,0.6258672072709728,1.7468795614943182,0.6372549019607843,0.3627450980392157,0.6372549019607843,1.8357389091875536,0.5405399180148325,0.7240063473477469,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,24,99,0.43434343434343436,0.5656565656565656,0.0,-0.12196748147225578,-0.12358207155702403,0.6208720358217046,-0.45425818842811766,-0.12358207155702403,0.2014289387376912,0.43434343434343436,0.5656565656565656,0.43434343434343436,-1.9546074681849366,0.34096479297475407,0.5326272164844532,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,168,99,0.494949494949495,0.5050505050505051,0.0,-0.015915544071749083,-0.010016715393807874,1.6161618787061414,-0.8981788680541634,-0.010016715393807874,0.7964858668968917,0.494949494949495,0.5050505050505051,0.494949494949495,-0.09798378872037743,0.39850629527483744,0.5917700131451018,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,336,99,0.5858585858585859,0.41414141414141414,0.0,-0.040323654453425894,0.44148632010591515,1.847224496206917,-1.037121854723813,0.44148632010591515,1.1539618179073348,0.5858585858585859,0.41414141414141414,0.5858585858585859,-0.21719899060332162,0.48739617763471826,0.6779065792263185,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,24,159,0.5345911949685535,0.46540880503144655,0.0,0.06877367341906405,0.15481699621372016,1.989959384097638,-0.9358878745801082,0.15481699621372016,1.1947429440927166,0.5345911949685535,0.46540880503144655,0.5345911949685535,0.4357893090805886,0.457157962499145,0.6103923440564282,UNVERIFIED_PYTHON_APPROXIMATION,usable
