symbol,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
LIGHTCMDUSD,168,157,0.5222929936305732,0.4713375796178344,0.006369426751592357,0.2752945780745796,0.3426333822809579,4.919622667391032,-3.055974623805662,0.3426333822809579,3.24355394974545,0.5222929936305732,0.4713375796178344,0.5222929936305732,0.7011576719588748,0.44456270560291045,0.5989583735208983,UNVERIFIED_PYTHON_APPROXIMATION,usable
LIGHTCMDUSD,336,157,0.4840764331210191,0.5159235668789809,0.0,-0.02252856057231584,-0.3656832399535092,5.9698731341761295,-4.067501608082032,-0.3656832399535092,3.692382774873809,0.4840764331210191,0.5159235668789809,0.4840764331210191,-0.04728443109914444,0.4072221759368421,0.5616913389747231,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,24,123,0.4065040650406504,0.5934959349593496,0.0,-0.11025842687323137,-0.11738600304446364,0.6072475715244336,-0.35257668944479303,-0.11738600304446364,0.25455234353490175,0.4065040650406504,0.5934959349593496,0.4065040650406504,-2.0137175770123985,0.32380845131879504,0.494863025546839,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,168,123,0.5203252032520326,0.4796747967479675,0.0,-0.08262489932921292,0.08660983343712865,1.6878077347234786,-1.126628892911372,0.08660983343712865,1.1531065741240294,0.5203252032520326,0.4796747967479675,0.5203252032520326,-0.5429258579023929,0.4327641475229436,0.6066550966367011,UNVERIFIED_PYTHON_APPROXIMATION,usable
USDJPY,336,122,0.5327868852459017,0.4672131147540984,0.0,-0.12341440424040442,0.115802149187919,2.2323302104203746,-1.2137876631298634,0.115802149187919,1.2565561169837831,0.5327868852459017,0.4672131147540984,0.5327868852459017,-0.6106429251341156,0.4446080003691328,0.6189639821867152,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAGUSD,24,127,0.5433070866141733,0.4566929133858268,0.0,0.25597062832417866,0.13689556193419652,1.535941929652985,-0.7375858833796857,0.13689556193419652,1.2229285563377799,0.5433070866141733,0.4566929133858268,0.5433070866141733,1.8780934524583182,0.45667325127746106,0.6273978698338675,UNVERIFIED_PYTHON_APPROXIMATION,usable
XAGUSD,168,127,0.5748031496062992,0.41732283464566927,0.007874015748031496,0.5608787608295743,0.7545374209774922,3.4902611666586574,-1.8568555521238563,0.7545374209774922,2.7811324875727252,0.5748031496062992,0.41732283464566927,0.5748031496062992,1.8109769798763362,0.48786781499838405,0.6573459396484561,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,336,127,0.5826771653543307,0.41732283464566927,0.0,1.2247962200641245,0.8491115143629867,5.004065228283358,-1.9225058878101084,0.8491115143629867,3.960766945776119,0.5826771653543307,0.41732283464566927,0.5826771653543307,2.7583078521796875,0.4957194143324227,0.6647799986982953,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,24,132,0.5151515151515151,0.48484848484848486,0.0,0.08081094724235238,0.08616166978265907,0.8114374937154772,-0.35044742382395055,0.08616166978265907,0.539993433126293,0.5151515151515151,0.48484848484848486,0.5151515151515151,1.1442003914168362,0.4306772655530051,0.5987687951529936,UNVERIFIED_PYTHON_APPROXIMATION,borderline
XAUUSD,168,132,0.553030303030303,0.44696969696969696,0.0,0.4157468733616742,0.3140198339768759,2.11330635551261,-0.9406874211288425,0.3140198339768759,1.5908097530374263,0.553030303030303,0.44696969696969696,0.553030303030303,2.260234492645663,0.4679081278549537,0.6351530846160418,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,336,132,0.553030303030303,0.44696969696969696,0.0,0.7843022819093255,0.2935243644148104,2.7703843829196395,-0.922069724563828,0.2935243644148104,2.456391503995939,0.553030303030303,0.44696969696969696,0.553030303030303,3.252598173761464,0.4679081278549537,0.6351530846160418,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
