symbol,analysis_session_scope,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
BRENTCMDUSD,all_sessions,24,162,0.5555555555555556,0.4444444444444444,0.0,0.16595686081029348,0.19877299952243896,1.848026777367034,-0.7546789693069522,0.19877299952243896,1.07785340127609,0.5555555555555556,0.4444444444444444,0.5555555555555556,1.1429953374109099,0.47862984166909595,0.6299074613959976,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,all_sessions,168,161,0.4968944099378882,0.5031055900621118,0.0,0.25119612127049795,-0.0695172295779693,4.295864704525056,-2.640338589911594,-0.0695172295779693,2.321764541051195,0.4968944099378882,0.5031055900621118,0.4968944099378882,0.7419510812906897,0.4206386796275324,0.5732948905392217,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,all_sessions,336,161,0.515527950310559,0.484472049689441,0.0,-0.03721498642827505,0.15192740632295637,4.976137734739076,-3.9637064700093005,0.15192740632295637,3.411891558841652,0.515527950310559,0.484472049689441,0.515527950310559,-0.09489392499436204,0.43887249046507,0.5914596587011599,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,london_only,24,43,0.46511627906976744,0.5348837209302325,0.0,-0.1921199580568744,-0.2754349382216455,1.7823201096607852,-0.9321711507638607,-0.2754349382216455,1.0150598441115593,0.46511627906976744,0.5348837209302325,0.46511627906976744,-0.7068398136904841,0.3251082626391856,0.6108461027112723,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,london_only,168,43,0.5581395348837209,0.4418604651162791,0.0,0.10709571541864289,0.45008551624808035,3.091017473533286,-2.852264234610011,0.45008551624808035,2.264116247520886,0.5581395348837209,0.4418604651162791,0.5581395348837209,0.22719818832700953,0.4110735806551171,0.6956691437607867,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
BRENTCMDUSD,london_only,336,43,0.4883720930232558,0.5116279069767442,0.0,-0.8503368511321253,-0.1186056717232219,3.5808682607864544,-3.481700676831011,-0.1186056717232219,1.788046800739627,0.4883720930232558,0.5116279069767442,0.4883720930232558,-1.5571730709307938,0.34617209277756,0.6324793623392592,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
BRENTCMDUSD,london_or_newyork,24,64,0.515625,0.484375,0.0,-0.16065073065027025,0.04855172918978362,1.9997342565367922,-0.9258847044834011,0.04855172918978362,1.042882330179927,0.515625,0.484375,0.515625,-0.6426883177107369,0.3958139224399903,0.6336665143421609,UNVERIFIED_PYTHON_APPROXIMATION,borderline
BRENTCMDUSD,london_or_newyork,168,64,0.53125,0.46875,0.0,0.11814402970267038,0.3208246473136599,3.4236277304000398,-2.753583175162561,0.3208246473136599,2.772317251458428,0.53125,0.46875,0.53125,0.2760674676247365,0.41071875000475133,0.6482421235595515,UNVERIFIED_PYTHON_APPROXIMATION,usable
BRENTCMDUSD,london_or_newyork,336,64,0.46875,0.53125,0.0,-0.675923044437119,-0.4078490978760674,4.480780816233598,-4.24369692227306,-0.4078490978760674,1.9504686668178735,0.46875,0.53125,0.46875,-1.2067951049750805,0.35175787644044865,0.5892812499952487,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,all_sessions,24,102,0.46078431372549017,0.5392156862745098,0.0,-0.04726774530741736,-0.10310240681903997,0.6745669332447216,-0.4470349143037772,-0.10310240681903997,0.43980570577253014,0.46078431372549017,0.5392156862745098,0.46078431372549017,-0.7076848917886652,0.3672332339199432,0.5571821188336056,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,all_sessions,168,102,0.5686274509803921,0.43137254901960786,0.0,0.2119800381142981,0.3546101424557737,1.5298370359329254,-0.9009232372832386,0.3546101424557737,1.36104354888828,0.5686274509803921,0.43137254901960786,0.5686274509803921,1.3994258156156973,0.47174801648043707,0.6605251162008527,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,all_sessions,336,102,0.6372549019607843,0.3627450980392157,0.0,0.37201655782513865,0.6258672072709728,2.0466870556065473,-0.7918112377557839,0.6258672072709728,1.7468795614943182,0.6372549019607843,0.3627450980392157,0.6372549019607843,1.8357389091875536,0.5405399180148325,0.7240063473477469,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,london_only,24,11,0.5454545454545454,0.45454545454545453,0.0,-0.022169401142417108,0.0036438722215475687,0.7026131934604065,-0.6331912915170067,0.0036438722215475687,0.38842229250630056,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.10464874001888111,0.2800877556899882,0.7872904245601194,UNVERIFIED_PYTHON_APPROXIMATION,usable
EURJPY,london_only,168,11,0.45454545454545453,0.5454545454545454,0.0,-0.12624703248738822,-0.5025189476960978,1.5432697839779104,-1.4574510996369494,-0.5025189476960978,1.2748746020663941,0.45454545454545453,0.5454545454545454,0.45454545454545453,-0.2713161639031148,0.2127095754398805,0.7199122443100117,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,london_only,336,11,0.5454545454545454,0.45454545454545453,0.0,-0.18386684945755355,0.6219545509411811,2.18376164005921,-1.6021137486509853,0.6219545509411811,1.064790547516448,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.27925087603376525,0.2800877556899882,0.7872904245601194,UNVERIFIED_PYTHON_APPROXIMATION,usable
EURJPY,london_or_newyork,24,25,0.48,0.52,0.0,-0.01205206331265702,-0.11162476040140236,0.703480352989862,-0.4577223903123663,-0.11162476040140236,0.41011699371464766,0.48,0.52,0.48,-0.0856602694121772,0.30031003928960015,0.6650178204685269,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
EURJPY,london_or_newyork,168,25,0.56,0.44,0.0,0.24884016424507194,0.3681526775702063,1.3869007675532137,-0.7694261518160926,0.3681526775702063,1.5958171427088725,0.56,0.44,0.56,0.8971087552430973,0.3706701701956443,0.7333462505299744,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
EURJPY,london_or_newyork,336,25,0.64,0.36,0.0,0.3342225467684493,0.6460705829293127,1.9617686446236269,-0.37758646730099876,0.6460705829293127,1.3851394780820163,0.64,0.36,0.64,0.8518398631877696,0.44518154601046633,0.7975234356826436,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,all_sessions,24,99,0.43434343434343436,0.5656565656565656,0.0,-0.12196748147225578,-0.12358207155702403,0.6208720358217046,-0.45425818842811766,-0.12358207155702403,0.2014289387376912,0.43434343434343436,0.5656565656565656,0.43434343434343436,-1.9546074681849366,0.34096479297475407,0.5326272164844532,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,all_sessions,168,99,0.494949494949495,0.5050505050505051,0.0,-0.015915544071749083,-0.010016715393807874,1.6161618787061414,-0.8981788680541634,-0.010016715393807874,0.7964858668968917,0.494949494949495,0.5050505050505051,0.494949494949495,-0.09798378872037743,0.39850629527483744,0.5917700131451018,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,all_sessions,336,99,0.5858585858585859,0.41414141414141414,0.0,-0.040323654453425894,0.44148632010591515,1.847224496206917,-1.037121854723813,0.44148632010591515,1.1539618179073348,0.5858585858585859,0.41414141414141414,0.5858585858585859,-0.21719899060332162,0.48739617763471826,0.6779065792263185,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
GBPJPY,london_only,24,22,0.36363636363636365,0.6363636363636364,0.0,-0.14714502682070607,-0.16282899821185232,0.673537863628853,-0.40747680843316336,-0.16282899821185232,0.15391401830323162,0.36363636363636365,0.6363636363636364,0.36363636363636365,-1.0246957001956964,0.19732972772607899,0.5704865065628195,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,london_only,168,22,0.4090909090909091,0.5909090909090909,0.0,-0.5512423087298557,-0.7863868979455593,2.080657814230847,-1.1989060633912603,-0.7863868979455593,0.6751252086129899,0.4090909090909091,0.5909090909090909,0.4090909090909091,-1.2426625823159514,0.2325555966882038,0.6126552261710619,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,london_only,336,22,0.45454545454545453,0.5454545454545454,0.0,-0.6257411529482689,-0.5083321220052974,2.23289952076146,-2.1514228571182965,-0.5083321220052974,1.0822043311938372,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1.3144282302312285,0.26920014432004846,0.6534052671095845,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,london_or_newyork,24,35,0.4,0.6,0.0,-0.12866594965192404,-0.14072254631050995,0.6254806899934751,-0.4498501589709136,-0.14072254631050995,0.15490053854405975,0.4,0.6,0.4,-1.216980852785402,0.25550504933307244,0.5642758041848053,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
GBPJPY,london_or_newyork,168,35,0.5142857142857142,0.4857142857142857,0.0,-0.21285596608857282,0.005501730294172515,1.788763363980876,-1.1015605655312586,0.005501730294172515,0.7927112418270003,0.5142857142857142,0.4857142857142857,0.5142857142857142,-0.7039907586692983,0.35568539626711626,0.6700601960874726,UNVERIFIED_PYTHON_APPROXIMATION,borderline
GBPJPY,london_or_newyork,336,35,0.5714285714285714,0.42857142857142855,0.0,-0.17573789297501155,0.1381700030764416,1.9775897216720466,-1.160936042504967,0.1381700030764416,1.1255802134202786,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.5257305822134551,0.4085712925897337,0.7201566691832108,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,all_sessions,24,159,0.5345911949685535,0.46540880503144655,0.0,0.06877367341906405,0.15481699621372016,1.989959384097638,-0.9358878745801082,0.15481699621372016,1.1947429440927166,0.5345911949685535,0.46540880503144655,0.5345911949685535,0.4357893090805886,0.457157962499145,0.6103923440564282,UNVERIFIED_PYTHON_APPROXIMATION,usable
LIGHTCMDUSD,all_sessions,168,157,0.5222929936305732,0.4713375796178344,0.006369426751592357,0.2752945780745796,0.3426333822809579,4.919622667391032,-3.055974623805662,0.3426333822809579,3.24355394974545,0.5222929936305732,0.4713375796178344,0.5222929936305732,0.7011576719588748,0.44456270560291045,0.5989583735208983,UNVERIFIED_PYTHON_APPROXIMATION,usable
LIGHTCMDUSD,all_sessions,336,157,0.4840764331210191,0.5159235668789809,0.0,-0.02252856057231584,-0.3656832399535092,5.9698731341761295,-4.067501608082032,-0.3656832399535092,3.692382774873809,0.4840764331210191,0.5159235668789809,0.4840764331210191,-0.04728443109914444,0.4072221759368421,0.5616913389747231,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
LIGHTCMDUSD,london_only,24,53,0.5283018867924528,0.4716981132075472,0.0,0.07833936544725849,0.18958389393087544,2.308740512319599,-1.1852353538774139,0.18958389393087544,1.2156291652268383,0.5283018867924528,0.4716981132075472,0.5283018867924528,0.2470261105868262,0.3965985230075645,0.6561797239101858,UNVERIFIED_PYTHON_APPROXIMATION,usable
LIGHTCMDUSD,london_only,168,53,0.5660377358490566,0.4339622641509434,0.0,0.9554454570402755,1.0786442271790573,4.809978183033915,-3.474670803790085,1.0786442271790573,3.741574703172902,0.5660377358490566,0.4339622641509434,0.5660377358490566,1.446107997953472,0.4326511497976876,0.6904980930103964,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,london_only,336,53,0.5094339622641509,0.49056603773584906,0.0,0.16957372911286836,0.008518250351370583,6.183719779726805,-4.028632063594843,0.008518250351370583,2.706187315934485,0.5094339622641509,0.49056603773584906,0.5094339622641509,0.199639606297184,0.37883304253297795,0.6387597064396053,UNVERIFIED_PYTHON_APPROXIMATION,borderline
LIGHTCMDUSD,london_or_newyork,24,78,0.5512820512820513,0.44871794871794873,0.0,-0.0801779738921013,0.20774446893897686,2.246213074116014,-1.158370309522692,0.20774446893897686,1.0787468236984432,0.5512820512820513,0.44871794871794873,0.5512820512820513,-0.3152473379847949,0.4410917185751463,0.6566580810377646,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,london_or_newyork,168,78,0.5641025641025641,0.4230769230769231,0.01282051282051282,0.6294872431296827,0.9866108556759552,4.949405579584172,-2.901756220380256,0.9866108556759552,3.66658619385964,0.5641025641025641,0.4230769230769231,0.5641025641025641,1.123262321167953,0.4536178766457738,0.6685693728703647,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,london_or_newyork,336,78,0.48717948717948717,0.5128205128205128,0.0,-0.24152427403649546,-0.09785393436498674,6.401516481846626,-4.997927961162215,-0.09785393436498674,3.311513233752294,0.48717948717948717,0.5128205128205128,0.48717948717948717,-0.33321551819053336,0.37948764475056745,0.5960749053462049,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,all_sessions,24,123,0.4065040650406504,0.5934959349593496,0.0,-0.11025842687323137,-0.11738600304446364,0.6072475715244336,-0.35257668944479303,-0.11738600304446364,0.25455234353490175,0.4065040650406504,0.5934959349593496,0.4065040650406504,-2.0137175770123985,0.32380845131879504,0.494863025546839,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
USDJPY,all_sessions,168,123,0.5203252032520326,0.4796747967479675,0.0,-0.08262489932921292,0.08660983343712865,1.6878077347234786,-1.126628892911372,0.08660983343712865,1.1531065741240294,0.5203252032520326,0.4796747967479675,0.5203252032520326,-0.5429258579023929,0.4327641475229436,0.6066550966367011,UNVERIFIED_PYTHON_APPROXIMATION,usable
USDJPY,all_sessions,336,122,0.5327868852459017,0.4672131147540984,0.0,-0.12341440424040442,0.115802149187919,2.2323302104203746,-1.2137876631298634,0.115802149187919,1.2565561169837831,0.5327868852459017,0.4672131147540984,0.5327868852459017,-0.6106429251341156,0.4446080003691328,0.6189639821867152,UNVERIFIED_PYTHON_APPROXIMATION,usable
