year,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
2022,24,221,0.45248868778280543,0.5475113122171946,0.0,-0.055830788976962,-0.17430818728157937,1.6775271421803881,-0.6774827529575338,-0.17430818728157937,0.6313411979174278,0.45248868778280543,0.5475113122171946,0.45248868778280543,-0.49476656816995884,0.3882347800235898,0.5183661336863288,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
2022,168,221,0.5339366515837104,0.46153846153846156,0.004524886877828055,0.5617629806040771,0.1450833677016458,3.9305514753871034,-1.344872878507008,0.1450833677016458,1.6568538377342044,0.5339366515837104,0.46153846153846156,0.5339366515837104,2.124690935013461,0.4681486107993044,0.5985650222650394,UNVERIFIED_PYTHON_APPROXIMATION,usable
2022,336,221,0.4751131221719457,0.5248868778280543,0.0,0.04785164365479215,-0.08757972429100724,4.679196657052644,-1.927199166254291,-0.08757972429100724,2.006479583052911,0.4751131221719457,0.5248868778280543,0.4751131221719457,0.15202734067014104,0.4102616147758983,0.5408150543102496,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
2023,24,247,0.47368421052631576,0.5263157894736842,0.0,-0.05601636675441905,-0.034102194157654045,1.2902948465375523,-0.5848074838291721,-0.034102194157654045,0.5216979629957532,0.47368421052631576,0.5263157894736842,0.47368421052631576,-0.6822985538902114,0.4122951005028114,0.5358793649765987,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
2023,168,247,0.5222672064777328,0.4777327935222672,0.0,0.1858212779301142,0.1845104789918655,2.9979512092340523,-1.3261160682906408,0.1845104789918655,1.7971347538534417,0.5222672064777328,0.4777327935222672,0.5222672064777328,0.974135473339315,0.46011005883926726,0.583742316524309,UNVERIFIED_PYTHON_APPROXIMATION,usable
2023,336,247,0.5910931174089069,0.4089068825910931,0.0,0.5700995036912136,0.5502489221314353,3.8589999894061444,-1.464781964854505,0.5502489221314353,2.3523333416834387,0.5910931174089069,0.4089068825910931,0.5910931174089069,2.3217976226464025,0.5288410330023078,0.6505550480305035,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2024,24,212,0.5754716981132075,0.42452830188679247,0.0,0.15732153100769108,0.11499212107231911,1.2698992425006306,-0.47678932534767016,0.11499212107231911,0.8780938993997582,0.5754716981132075,0.42452830188679247,0.5754716981132075,1.803793553621676,0.5081740165093991,0.6400828533433076,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2024,168,212,0.5,0.49528301886792453,0.0047169811320754715,0.06100612535640213,0.03747614415966924,2.8722095351359056,-1.6947320678266506,0.03747614415966924,1.75155927329897,0.5,0.49528301886792453,0.5,0.30926106962653405,0.4332949828989276,0.5667050171010725,UNVERIFIED_PYTHON_APPROXIMATION,borderline
2024,336,212,0.5471698113207547,0.4528301886792453,0.0,-0.008197814224820315,0.2662977167314715,3.813590578713639,-2.4145114678023,0.2662977167314715,2.4261034317824777,0.5471698113207547,0.4528301886792453,0.5471698113207547,-0.03129910627623265,0.4799174476638379,0.6127430959941038,UNVERIFIED_PYTHON_APPROXIMATION,usable
2025,24,224,0.5044642857142857,0.4955357142857143,0.0,0.19357118546500973,0.01900259376373522,1.2003524224941469,-0.45505865313707183,0.01900259376373522,0.6608153326117013,0.5044642857142857,0.4955357142857143,0.5044642857142857,2.4135480293589326,0.4394669162294954,0.5693111120146882,UNVERIFIED_PYTHON_APPROXIMATION,borderline
2025,168,221,0.5701357466063348,0.4298642533936652,0.0,0.1659579351159351,0.5076532574417305,3.2633352018861426,-0.9670900692840543,0.5076532574417305,1.6565762379389843,0.5701357466063348,0.4298642533936652,0.5701357466063348,0.7560185883358094,0.5042161564897252,0.6336586851765857,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2025,336,220,0.5772727272727273,0.42272727272727273,0.0,0.5399711821888074,0.5086988688787961,4.075165397548203,-1.3179165953679706,0.5086988688787961,2.229874443216324,0.5772727272727273,0.42272727272727273,0.5772727272727273,1.9653354275304706,0.5112177715295977,0.6406753528941019,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
