year,analysis_session_scope,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
2022,all_sessions,24,13,0.6923076923076923,0.3076923076923077,0.0,0.6722640287080941,0.7449503608889092,1.083462503818999,-0.012903780807777166,0.7449503608889092,1.4549581558942128,0.6923076923076923,0.3076923076923077,0.6923076923076923,2.2371631852632694,0.4236888781333764,0.8731950283838191,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2022,all_sessions,72,13,0.6923076923076923,0.3076923076923077,0.0,1.3430933192405148,0.5720040281973795,2.4648822251504776,-0.6684060158716476,0.5720040281973795,3.3377779689448843,0.6923076923076923,0.3076923076923077,0.6923076923076923,1.964634164197913,0.4236888781333764,0.8731950283838191,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2022,london_only,24,4,0.75,0.25,0.0,0.2957026170290873,0.38893897655680826,0.5893980888130157,-0.07817939786508177,0.38893897655680826,0.7628209914509774,0.75,0.25,0.75,1.0034054152588128,0.3006360524426366,0.9544139373553637,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2022,london_only,72,4,0.5,0.5,0.0,0.43971027616792746,-0.10863444943399617,2.6578208998952024,-1.032160843042086,-0.1086344494339962,1.3632366697760174,0.5,0.5,0.5,0.33088029083168485,0.15003570882017148,0.8499642911798285,UNVERIFIED_PYTHON_APPROXIMATION,borderline
2022,london_or_newyork,24,13,0.6923076923076923,0.3076923076923077,0.0,0.6722640287080941,0.7449503608889092,1.083462503818999,-0.012903780807777166,0.7449503608889092,1.4549581558942128,0.6923076923076923,0.3076923076923077,0.6923076923076923,2.2371631852632694,0.4236888781333764,0.8731950283838191,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2022,london_or_newyork,72,13,0.6923076923076923,0.3076923076923077,0.0,1.3430933192405148,0.5720040281973795,2.4648822251504776,-0.6684060158716476,0.5720040281973795,3.3377779689448843,0.6923076923076923,0.3076923076923077,0.6923076923076923,1.964634164197913,0.4236888781333764,0.8731950283838191,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2023,all_sessions,24,8,0.75,0.25,0.0,0.7740221454370523,0.5931339780878844,1.6429153914781174,0.16777617590835736,0.5931339780878844,1.2212363632930723,0.75,0.25,0.75,1.3325489813195648,0.40926987910258916,0.9285223111419724,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2023,all_sessions,72,8,0.375,0.625,0.0,0.5228839227436379,-0.37465159714709934,2.8772022682678235,-0.7499325577620004,-0.3746515971470993,0.4443212326741642,0.375,0.625,0.375,0.5140198471594317,0.13684175946152105,0.6942621454161981,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
2023,london_only,24,4,0.75,0.25,0.0,0.1358790622510622,0.5109439580427062,1.2371226192853448,-0.16375256618314282,0.5109439580427062,0.8105755864769113,0.75,0.25,0.75,0.2196695139719556,0.3006360524426366,0.9544139373553637,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
2023,london_only,72,4,0.25,0.75,0.0,-0.6656544653486101,-0.9802104344410977,1.1981366962210505,-1.4984339885936937,-0.9802104344410977,-0.14743091119601404,0.25,0.75,0.25,-1.1111494497215533,0.045586062644636216,0.6993639475573634,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
2023,london_or_newyork,24,8,0.75,0.25,0.0,0.7740221454370523,0.5931339780878844,1.6429153914781174,0.16777617590835736,0.5931339780878844,1.2212363632930723,0.75,0.25,0.75,1.3325489813195648,0.40926987910258916,0.9285223111419724,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
