timeframe,symbol,year,n_signals,win_rate,mean_forward_return_pct,median_forward_return_pct,truth_label_block
m30,LIGHTCMDUSD,2023,24,0.4583333333333333,-1.144837521828412,-1.348160683034189,UNVERIFIED_PYTHON_APPROXIMATION
m30,LIGHTCMDUSD,2024,20,0.55,-0.4582060198588825,0.1388865917431971,UNVERIFIED_PYTHON_APPROXIMATION
m30,LIGHTCMDUSD,2025,21,0.4285714285714285,0.3962396412648901,-0.5943396226415103,UNVERIFIED_PYTHON_APPROXIMATION
m30,USDJPY,2022,4,0.25,-1.5302565734608409,-0.7946061890396104,UNVERIFIED_PYTHON_APPROXIMATION
m30,USDJPY,2023,9,0.5555555555555556,0.2526143965009698,0.1371198732403001,UNVERIFIED_PYTHON_APPROXIMATION
m30,USDJPY,2024,6,0.3333333333333333,-1.2328230744311306,-1.296319312800676,UNVERIFIED_PYTHON_APPROXIMATION
m30,USDJPY,2025,8,0.25,-0.8108418759894263,-0.9598719665575138,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAGUSD,2022,15,0.6,0.2525590179166492,2.563412138510435,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAGUSD,2023,12,0.5833333333333334,1.987972300529754,1.280414719240714,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAGUSD,2024,14,0.7142857142857143,1.3763880409472,0.9111972696703946,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAGUSD,2025,5,1.0,9.580198183659252,9.916088429885422,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAUUSD,2022,16,0.3125,0.2216921999245149,-0.2831246694296438,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAUUSD,2023,10,0.5,-0.0427008072075464,0.0769189467299902,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAUUSD,2024,7,0.7142857142857143,1.404425749514466,0.8569048897422259,UNVERIFIED_PYTHON_APPROXIMATION
m30,XAUUSD,2025,8,0.875,2.064082790631974,2.282379028501292,UNVERIFIED_PYTHON_APPROXIMATION
