symbol,session_scope,n_24h,n_72h,win_rate_24h,win_rate_72h,mean_return_24h,mean_return_72h,median_return_24h,median_return_72h,action,rationale,truth_label_block
EURUSD,all_sessions,9,9,0.6666666666666666,0.6666666666666666,0.302866816859077,0.38149391295368,0.15952597994529708,0.28975126969655246,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
EURUSD,london_only,3,3,0.6666666666666666,0.3333333333333333,0.2950343681491853,-0.14382021090419236,0.25728667619234985,-0.4314618293981296,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
EURUSD,london_or_newyork,9,9,0.6666666666666666,0.6666666666666666,0.302866816859077,0.38149391295368,0.15952597994529708,0.28975126969655246,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,all_sessions,19,19,0.631578947368421,0.8421052631578947,0.5967040081900723,2.269985965231689,0.6332777229239724,2.991718765343201,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,london_only,9,9,0.6666666666666666,0.7777777777777778,0.3792950489401659,2.0575980950930077,0.6912346450135347,2.991718765343201,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,london_or_newyork,19,19,0.631578947368421,0.8421052631578947,0.5967040081900723,2.269985965231689,0.6332777229239724,2.991718765343201,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,all_sessions,14,14,0.7142857142857143,0.42857142857142855,0.38865330529137754,-0.09706198333851138,0.3884869153695302,-0.584252248952171,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,london_only,7,7,0.7142857142857143,0.42857142857142855,0.3340878341397295,-0.5403071965037656,0.3306532710718778,-0.6684060158716476,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,london_or_newyork,14,14,0.7142857142857143,0.42857142857142855,0.38865330529137754,-0.09706198333851138,0.3884869153695302,-0.584252248952171,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
