symbol,session_restriction,m15_action_24h_336h,m30_action_24h_336h,m15_allowed,m30_allowed,confidence_tier,m15_win_rate_336h,m30_win_rate_336h,m15_mean_return_336h_pct,m30_mean_return_336h_pct,m15_win_rate_168h,m30_win_rate_168h
XAGUSD,london_or_newyork,KEEP,KEEP,True,True,A,0.5633802816901409,0.6739130434782609,1.121917320942105,2.061184268840518,0.5211267605633803,0.6086956521739131
XAUUSD,london_or_newyork,KEEP,KEEP,True,True,A,0.5490196078431373,0.5365853658536586,0.6231755528798387,0.7186270658139957,0.5294117647058824,0.5609756097560976
EURJPY,london_or_newyork,CUT,KEEP,False,True,B,0.4807692307692308,0.64,-0.0016000941813719,0.3342225467684493,0.4807692307692308,0.56
GBPJPY,london_or_newyork,KEEP,WATCH,True,False,B,0.5344827586206896,0.5714285714285714,-0.1056760720263011,-0.1757378929750115,0.5517241379310345,0.5142857142857142
USDJPY,london_or_newyork,KEEP,CUT,True,False,B,0.5686274509803921,0.3703703703703703,0.2788273792998714,-0.6567100066606234,0.5769230769230769,0.5
BRENTCMDUSD,london_or_newyork,CUT,WATCH,False,False,C,0.4823529411764706,0.46875,-0.7272491257185142,-0.675923044437119,0.5116279069767442,0.53125
LIGHTCMDUSD,london_or_newyork,WATCH,WATCH,False,False,C,0.5119047619047619,0.4871794871794871,-0.0484283208136595,-0.2415242740364954,0.5833333333333334,0.5641025641025641
